source name	characteristics[organism]	characteristics[strain]	characteristics[organism part]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[developmental stage]	characteristics[enrichment process]	assay name	comment[data file]	comment[technical replicate]	comment[fraction identifier]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[label]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	factor value[organism part]	factor value[enrichment process]
Sample 6	Mus musculus	Swiss Webster	lung	lung	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 164	Lung_Phosphorylation_o06104.RAW	28	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	lung	enrichment of phosphorylated Protein
Sample 7	Mus musculus	Swiss Webster	pancreas	pancreas	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 165	Pancreas_Phosphorylation_pancreas_f1_01_w01325.RAW	1	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	pancreas	enrichment of phosphorylated Protein
Sample 7	Mus musculus	Swiss Webster	pancreas	pancreas	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 166	Pancreas_Phosphorylation_pancreas_f2_01_w01326.RAW	1	2	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	pancreas	enrichment of phosphorylated Protein
Sample 7	Mus musculus	Swiss Webster	pancreas	pancreas	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 167	Pancreas_Phosphorylation_pancreas_f2_02_w01326b.RAW	2	2	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	pancreas	enrichment of phosphorylated Protein
Sample 7	Mus musculus	Swiss Webster	pancreas	pancreas	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 168	Pancreas_Phosphorylation_pancreas_f3_01_w01327.RAW	1	3	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	pancreas	enrichment of phosphorylated Protein
Sample 7	Mus musculus	Swiss Webster	pancreas	pancreas	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 169	Pancreas_Phosphorylation_pancreas_f3_02_w01327b.RAW	2	3	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	pancreas	enrichment of phosphorylated Protein
Sample 7	Mus musculus	Swiss Webster	pancreas	pancreas	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 170	Pancreas_Phosphorylation_pancreas_f4_01_w01328.RAW	1	4	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	pancreas	enrichment of phosphorylated Protein
Sample 7	Mus musculus	Swiss Webster	pancreas	pancreas	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 171	Pancreas_Phosphorylation_pancreas_f4_02_w1028b.RAW	2	4	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	pancreas	enrichment of phosphorylated Protein
Sample 7	Mus musculus	Swiss Webster	pancreas	pancreas	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 172	Pancreas_Phosphorylation_pancreas_f5_01_w01329.RAW	1	5	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	pancreas	enrichment of phosphorylated Protein
Sample 7	Mus musculus	Swiss Webster	pancreas	pancreas	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 173	Pancreas_Phosphorylation_pancreas_f5_02_w1029b.RAW	2	5	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	pancreas	enrichment of phosphorylated Protein
Sample 7	Mus musculus	Swiss Webster	pancreas	pancreas	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 174	Pancreas_Phosphorylation_pancreas_f6_01_w01325.RAW	1	6	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	pancreas	enrichment of phosphorylated Protein
Sample 7	Mus musculus	Swiss Webster	pancreas	pancreas	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 175	Pancreas_Phosphorylation_pancreas_f6_02_w1030b.RAW	2	6	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	pancreas	enrichment of phosphorylated Protein
Sample 7	Mus musculus	Swiss Webster	pancreas	pancreas	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 176	Pancreas_Phosphorylation_pancreas_f7_01_w01331.RAW	1	7	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	pancreas	enrichment of phosphorylated Protein
Sample 7	Mus musculus	Swiss Webster	pancreas	pancreas	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 177	Pancreas_Phosphorylation_pancreas_f7_02_w1031b.RAW	2	7	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	pancreas	enrichment of phosphorylated Protein
Sample 7	Mus musculus	Swiss Webster	pancreas	pancreas	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 178	Pancreas_Phosphorylation_pancreas_f8_01_w01332.RAW	1	8	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	pancreas	enrichment of phosphorylated Protein
Sample 7	Mus musculus	Swiss Webster	pancreas	pancreas	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 179	Pancreas_Phosphorylation_pancreas_f8_02_w1037.RAW	2	8	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	pancreas	enrichment of phosphorylated Protein
Sample 7	Mus musculus	Swiss Webster	pancreas	pancreas	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 180	Pancreas_Phosphorylation_pancreas_f9_01_w01333.RAW	1	9	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	pancreas	enrichment of phosphorylated Protein
Sample 7	Mus musculus	Swiss Webster	pancreas	pancreas	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 181	Pancreas_Phosphorylation_pancreas_f9_02_w1038.RAW	2	9	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	pancreas	enrichment of phosphorylated Protein
Sample 7	Mus musculus	Swiss Webster	pancreas	pancreas	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 182	Pancreas_Phosphorylation_pancreas_f10_01_w01334.RAW	1	10	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	pancreas	enrichment of phosphorylated Protein
Sample 7	Mus musculus	Swiss Webster	pancreas	pancreas	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 183	Pancreas_Phosphorylation_pancreas_f10_02_w1039.RAW	2	10	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	pancreas	enrichment of phosphorylated Protein
Sample 7	Mus musculus	Swiss Webster	pancreas	pancreas	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 184	Pancreas_Phosphorylation_pancreas_f11_01_w01335.RAW	1	11	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	pancreas	enrichment of phosphorylated Protein
Sample 7	Mus musculus	Swiss Webster	pancreas	pancreas	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 185	Pancreas_Phosphorylation_pancreas_f11_02_w1040.RAW	2	11	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	pancreas	enrichment of phosphorylated Protein
Sample 7	Mus musculus	Swiss Webster	pancreas	pancreas	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 186	Pancreas_Phosphorylation_pancreas_f12_01_w01336.RAW	1	12	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	pancreas	enrichment of phosphorylated Protein
Sample 7	Mus musculus	Swiss Webster	pancreas	pancreas	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 187	Pancreas_Phosphorylation_pancreas_f12_02_w1041.RAW	2	12	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	pancreas	enrichment of phosphorylated Protein
Sample 7	Mus musculus	Swiss Webster	pancreas	pancreas	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 188	Pancreas_Phosphorylation_pancreas_scx1_02_w1025b.RAW	2	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	pancreas	enrichment of phosphorylated Protein
Sample 8	Mus musculus	Swiss Webster	spleen	spleen	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 189	Spleen_Phosphorylation_o05307.RAW	1	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	spleen	enrichment of phosphorylated Protein
Sample 8	Mus musculus	Swiss Webster	spleen	spleen	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 190	Spleen_Phosphorylation_o05308.RAW	2	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	spleen	enrichment of phosphorylated Protein
Sample 8	Mus musculus	Swiss Webster	spleen	spleen	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 191	Spleen_Phosphorylation_o05309.RAW	3	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	spleen	enrichment of phosphorylated Protein
Sample 8	Mus musculus	Swiss Webster	spleen	spleen	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 192	Spleen_Phosphorylation_o05312.RAW	4	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	spleen	enrichment of phosphorylated Protein
Sample 8	Mus musculus	Swiss Webster	spleen	spleen	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 193	Spleen_Phosphorylation_o05313.RAW	5	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	spleen	enrichment of phosphorylated Protein
Sample 8	Mus musculus	Swiss Webster	spleen	spleen	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 194	Spleen_Phosphorylation_o05314.RAW	6	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	spleen	enrichment of phosphorylated Protein
Sample 8	Mus musculus	Swiss Webster	spleen	spleen	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 195	Spleen_Phosphorylation_o05315.RAW	7	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	spleen	enrichment of phosphorylated Protein
Sample 8	Mus musculus	Swiss Webster	spleen	spleen	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 196	Spleen_Phosphorylation_o05318.RAW	8	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	spleen	enrichment of phosphorylated Protein
Sample 8	Mus musculus	Swiss Webster	spleen	spleen	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 197	Spleen_Phosphorylation_o05319.RAW	9	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	spleen	enrichment of phosphorylated Protein
Sample 8	Mus musculus	Swiss Webster	spleen	spleen	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 198	Spleen_Phosphorylation_o05337.RAW	10	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	spleen	enrichment of phosphorylated Protein
Sample 8	Mus musculus	Swiss Webster	spleen	spleen	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 199	Spleen_Phosphorylation_o05338.RAW	11	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	spleen	enrichment of phosphorylated Protein
Sample 8	Mus musculus	Swiss Webster	spleen	spleen	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 200	Spleen_Phosphorylation_o05339.RAW	12	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	spleen	enrichment of phosphorylated Protein
Sample 8	Mus musculus	Swiss Webster	spleen	spleen	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 201	Spleen_Phosphorylation_o05340.RAW	13	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	spleen	enrichment of phosphorylated Protein
Sample 8	Mus musculus	Swiss Webster	spleen	spleen	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 202	Spleen_Phosphorylation_o05342.RAW	14	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	spleen	enrichment of phosphorylated Protein
Sample 8	Mus musculus	Swiss Webster	spleen	spleen	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 203	Spleen_Phosphorylation_o05343.RAW	15	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	spleen	enrichment of phosphorylated Protein
