source name	characteristics[organism]	characteristics[organism part]	characteristics[ancestry category]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[cell line]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	material type	assay name	comment[fraction identifier]	comment[technical replicate]	comment[file uri]	comment[instrument]	comment[MS2 analyzer type]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[data file]
Sample 41	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 65	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d3_24_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	d3_24_hTT_II.raw
Sample 169	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 66	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d11_24_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	d11_24_hTT_II.raw
Sample 145	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 67	1	3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d10_48_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	d10_48_hTT_I.raw
Sample 161	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 68	1	3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d11_48_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	d11_48_hTT_I.raw
Sample 193	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 69	1	3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d13_48_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	d13_48_hTT_I.raw
Sample 209	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 70	1	3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d14_48_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	d14_48_hTT_I.raw
Sample 233	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 71	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d15_24_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	d15_24_hTT_II.raw
Sample 201	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 72	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d13_24_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	d13_24_hTT_II.raw
Sample 9	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 73	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d1_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	d1_12_hTT_II.raw
Sample 25	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 74	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d2_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	d2_12_hTT_II.raw
Sample 217	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 75	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d14_24_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	d14_24_hTT_II.raw
Sample 121	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 76	1	3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d8_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	d8_48_hTT_II.raw
Sample 33	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 77	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d3_24_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	d3_24_hTT_I.raw
Sample 89	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 78	1	3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d6_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	d6_48_hTT_II.raw
Sample 217	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 79	1	3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d14_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	d14_48_hTT_II.raw
Sample 73	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 80	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d5_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	d5_12_hTT_II.raw
Sample 57	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 81	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d4_24_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	d4_24_hTT_II.raw
Sample 9	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 82	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d1_24_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	d1_24_hTT_II.raw
Sample 177	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 83	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d12_24_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	d12_24_hTT_I.raw
Sample 201	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 84	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d13_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	d13_12_hTT_II.raw
Sample 153	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 85	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d10_24_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	d10_24_hTT_II.raw
Sample 113	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 86	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d8_24_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	d8_24_hTT_I.raw
Sample 25	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 87	1	3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d2_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	d2_48_hTT_II.raw
Sample 1	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 88	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d1_24_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	d1_24_hTT_I.raw
Sample 65	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 89	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d5_12_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	d5_12_hTT_I.raw
Sample 185	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 90	1	3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d12_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	d12_48_hTT_II.raw
Sample 2	Bacteroides thetaiotaomicron	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 2	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d1_12_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	d1_12_hTT_I.raw
Sample 3	Bifidobacterium longum	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 2	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d1_12_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	d1_12_hTT_I.raw
Sample 4	Blautia producta	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 2	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d1_12_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	d1_12_hTT_I.raw
Sample 5	Clostridium butyricum	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 2	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d1_12_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	d1_12_hTT_I.raw
Sample 6	clostridium	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 2	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d1_12_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	d1_12_hTT_I.raw
Sample 7	Escherichia coli K-12	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 2	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d1_12_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	d1_12_hTT_I.raw
Sample 8	lactobacillus	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 2	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d1_12_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	d1_12_hTT_I.raw
Sample 2	Bacteroides thetaiotaomicron	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 88	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d1_24_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	d1_24_hTT_I.raw
Sample 3	Bifidobacterium longum	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 88	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d1_24_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	d1_24_hTT_I.raw
Sample 4	Blautia producta	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 88	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d1_24_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	d1_24_hTT_I.raw
